Slug,SL,PT,activate_from_date,activate_from_time,deactivate_from_date,deactivate_from_time,name
uk,Advent Calendar deals are here: unwrap a new offer every day 📅✨,Discover new Advent deal every day,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
pl,Kalendarz adwentowy już czeka! Codziennie nowa okazja 📅✨ ,Kalendarz adwentowy z codziennymi ofertami,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
de,Der Beliani-Adventskalender ist da: Packe jeden Tag einen neuen Deal aus 📅✨ ,Adventskalender 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
at,Der Beliani-Adventskalender ist da: Packe jeden Tag einen neuen Deal aus 📅✨ ,Adventskalender 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
chde,Der Beliani-Adventskalender ist da: Packe jeden Tag einen neuen Deal aus 📅✨ ,Adventskalender 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
nl,De Beliani-adventskalender is er: pak elke dag een nieuwe deal uit 📅✨ ,Adventskalender ,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
fr,Le calendrier de l'Avent est arrivé : découvrez chaque jour une nouvelle offre,Calendrier de l'Avent 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
chfr,Le calendrier de l'Avent est arrivé : découvrez chaque jour une nouvelle offre,Calendrier de l'Avent 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
es,Llegan las ofertas de Adviento: una nueva cada día 📅🎁,Llegan las ofertas de Adviento,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
pt,Ofertas de Advento: desembrulhe um novo presente todos os dias 📅✨,Calendário do Advento com ofertas diárias,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
it,Le offerte dell’Avvento sono arrivate: scopri ogni giorno una nuova sorpresa! 📅✨,Le offerte dell’Avvento sono arrivate,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
dk,Juletilbuddene er her: pak et nyt tilbud ud hver dag 🗓️🎅,Julekalender - pak et nyd ud hver dag,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
no,Årets julekalender er her: Pakk opp et nytt tilbud hver dag  🎁,Julekalender med nye overraskelser hver dag! ,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
fi,Joulukalenteri on täällä: Uusi tarjous joka päivä 🎁🎄,Joulukalenteri – avaa luukku,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
se,Julkalendern är här: nytt erbjudande varje dag 🎁,Julkalender 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
cz,Adventní kalendář je tu: každý den nová akce 🎁,Adventní kalendář 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
sk,Adventný kalendár: každý deň nová ponuka! 🎄✨,Adventný kalendár 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
hu,Adventi naptár: Új kedvezmények minden nap 🎄✨,Adventi naptár ,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
befr,Le calendrier de l'Avent est arrivé : découvrez chaque jour une nouvelle offre,Calendrier de l'Avent 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
benl,De Beliani-adventskalender is er: pak elke dag een nieuwe deal uit 📅✨ ,Adventskalender ,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03
ro,Ofertele Advent sunt aici: descoperă o ofertă nouă în fiecare zi,Advent Calendar 2025,2025-11-21,00:00:00,2025-12-24,23:59:00,lp25-12-03